position,champion,key,games_played,kda,win_rate,pick_rate,ban_rate,cs,gold
jungle,Ezreal,ezreal,693,2.27,36.79653679653679,0.02,1.54,186.34,12277
jungle,Yasuo,yasuo,972,1.57,37.03703703703704,0.03,15.47,191.38,11944
jungle,Lux,lux,372,2.09,37.096774193548384,0.01,11.5,154.62,11147
jungle,Lulu,lulu,159,1.94,37.10691823899371,0.01,2.44,155.37,10402
jungle,Hwei,hwei,51,1.88,37.254901960784316,0.0,1.18,159.86,10638
jungle,LeBlanc,leblanc,74,2.39,37.83783783783784,0.0,4.61,147.7,11484
jungle,Kennen,kennen,214,1.94,37.850467289719624,0.01,0.66,172.57,11854
jungle,Corki,corki,449,2.04,37.8619153674833,0.01,0.28,203.27,12908
jungle,Ziggs,ziggs,126,1.71,38.88888888888889,0.0,0.87,166.25,11349
jungle,Twisted Fate,twistedfate,954,1.87,39.098532494758906,0.03,0.24,173.91,12847
jungle,Malzahar,malzahar,715,1.95,39.16083916083916,0.02,15.25,203.58,12522
jungle,Swain,swain,393,2.33,39.44020356234097,0.01,6.82,166.34,11645
jungle,Twitch,twitch,6331,2.16,39.74095719475596,0.19,7.78,168.51,13248
jungle,Xerath,xerath,176,2.55,39.77272727272727,0.01,3.7,169.68,12431
jungle,Jinx,jinx,455,2.04,40.21978021978022,0.01,3.94,196.65,12256
jungle,Cassiopeia,cassiopeia,233,1.87,40.343347639484975,0.01,0.69,180.22,11727
jungle,Seraphine,seraphine,227,2.33,40.52863436123348,0.01,1.83,159.99,11057
jungle,Yone,yone,1925,1.77,40.98701298701299,0.06,4.25,195.78,12338
jungle,Ryze,ryze,483,2.19,40.993788819875775,0.01,0.38,199.73,12812
jungle,Kai'Sa,kaisa,1665,2.16,41.08108108108108,0.05,1.6,204.19,13456
jungle,Quinn,quinn,1882,1.98,41.445270988310305,0.06,2.67,168.96,12782
jungle,Garen,garen,6903,1.99,41.59061277705345,0.21,7.77,190.77,12561
jungle,Gnar,gnar,765,1.92,41.69934640522876,0.02,0.43,182.75,12281
jungle,Viktor,viktor,43,1.71,41.86046511627907,0.0,1.4,163.6,11343
jungle,Camille,camille,757,2.16,42.800528401585204,0.02,0.81,169.61,12405
jungle,Illaoi,illaoi,292,1.71,42.80821917808219,0.01,6.9,172.89,11754
jungle,Heimerdinger,heimerdinger,1147,1.67,43.24324324324324,0.04,3.85,172.7,11936
jungle,Galio,galio,1002,2.29,43.31337325349301,0.03,2.4,156.49,10986
jungle,Nilah,nilah,480,1.8,43.333333333333336,0.01,2.26,206.82,13286
jungle,Senna,senna,131,2.54,43.51145038167939,0.0,0.76,168.17,12918
jungle,K'Sante,ksante,511,2.1,43.6399217221135,0.02,0.83,165.73,10990
jungle,Leona,leona,1021,2.37,44.07443682664055,0.03,6.54,134.66,10645
jungle,Qiyana,qiyana,41644,2.24,44.69071174719047,1.28,1.8,191.61,13189
jungle,Rell,rell,351,2.76,44.729344729344724,0.01,0.41,129.95,10447
jungle,Varus,varus,248,2.07,45.16129032258064,0.01,0.38,171.06,12462
jungle,Anivia,anivia,296,2.06,45.608108108108105,0.01,1.62,163.39,10987
jungle,Kayle,kayle,1738,2.19,45.742232451093216,0.05,4.91,220.63,13524
jungle,Neeko,neeko,2947,2.52,45.77536477774007,0.09,1.4,179.33,12172
jungle,Fizz,fizz,9974,2.35,45.79907760176459,0.31,12.27,173.85,12855
jungle,Irelia,irelia,593,1.77,46.0370994940978,0.02,6.2,193.04,12574
jungle,Nidalee,nidalee,43036,2.59,46.210149642160054,1.32,0.23,171.9,12248
jungle,Ornn,ornn,6040,2.59,46.50662251655629,0.19,0.49,175.3,11374
jungle,Zeri,zeri,1533,2.36,46.51011089367253,0.05,0.3,215.82,13755
jungle,Skarner,skarner,24208,2.71,46.682914738929284,0.74,0.14,162.41,11278
jungle,Gragas,gragas,12523,2.48,46.73800207617983,0.38,0.5,172.86,12081
jungle,Vayne,vayne,3196,2.05,46.7459324155194,0.1,7.22,179.93,12893
jungle,Kled,kled,596,2.39,46.81208053691275,0.02,0.82,156.45,12015
jungle,Aatrox,aatrox,47222,2.29,46.901867773495404,1.45,7.9,181.91,11999
jungle,Rengar,rengar,131345,2.22,46.95268186836194,4.03,4.58,195.33,13244
jungle,Lee Sin,leesin,134573,2.63,47.071849479464674,4.13,1.74,171.18,12324
jungle,Tahm Kench,tahmkench,1165,2.4,47.21030042918455,0.04,2.95,149.9,11391
jungle,Aurelion Sol,aurelionsol,1405,2.4,47.25978647686833,0.04,1.44,190.54,13362
jungle,Naafiri,naafiri,54934,2.58,47.32406160119416,1.68,6.32,185.03,12900
jungle,Sylas,sylas,128388,2.4,47.37670187244914,3.94,14.49,174.87,12379
jungle,Urgot,urgot,2749,2.33,47.6900691160422,0.08,2.71,197.27,13272
jungle,Pantheon,pantheon,41135,2.5,47.723349945302054,1.26,3.12,162.16,12298
jungle,Riven,riven,16188,2.37,48.06029157400544,0.5,3.46,191.01,12963
jungle,Nautilus,nautilus,7021,2.67,48.07007548782225,0.22,8.99,161.36,11179
jungle,Zaahen,zaahen,61710,2.25,48.15426997245179,1.89,23.62,176.01,12073
jungle,Zed,zed,64194,2.52,48.18363086892856,1.97,14.34,202.24,13850
jungle,Bel'Veth,belveth,71904,2.26,48.27825990209168,2.2,3.77,188.78,12618
jungle,Vi,vi,92944,2.31,48.393656395248755,2.85,0.47,177.82,12306
jungle,Hecarim,hecarim,103598,2.67,48.42468001312767,3.18,2.03,201.76,12730
jungle,Singed,singed,5501,2.45,48.42755862570442,0.17,1.69,195.35,12297
jungle,Karthus,karthus,51966,2.38,48.614478697609975,1.59,0.7,219.94,14423
jungle,Kha'Zix,khazix,150848,2.45,48.66753288078065,4.62,2.69,184.53,13348
jungle,Darius,darius,18610,2.18,48.672756582482535,0.57,12.57,186.72,12584
jungle,Taric,taric,2970,2.6,48.78787878787879,0.09,0.57,149.83,10631
jungle,Jayce,jayce,54087,2.69,48.87680958455821,1.66,1.72,204.65,14653
jungle,Taliyah,taliyah,10066,2.58,48.95688456189152,0.31,0.29,205.57,13199
jungle,Kindred,kindred,110656,2.19,49.021291208791204,3.39,2.74,182.16,12974
jungle,Xin Zhao,xinzhao,81984,2.34,49.02663934426229,2.51,0.72,172.37,12028
jungle,Talon,talon,88134,2.5,49.0412326684367,2.7,2.44,207.48,13528
jungle,Tryndamere,tryndamere,19442,2.08,49.17703939923876,0.6,3.83,209.96,13324
jungle,Sejuani,sejuani,58257,3.0,49.18035600871998,1.79,0.18,168.95,11595
jungle,Shen,shen,13869,3.04,49.18883841661259,0.43,0.92,167.61,11544
jungle,Poppy,poppy,19948,2.55,49.23801884900742,0.61,2.26,166.78,11639
jungle,Ambessa,ambessa,32085,2.57,49.28782920367773,0.98,4.56,194.35,13009
jungle,Maokai,maokai,9554,2.82,49.35105714883819,0.29,0.4,159.75,11065
jungle,Elise,elise,49716,2.47,49.35835545900716,1.52,1.17,167.5,12444
jungle,Rek'Sai,reksai,47758,2.79,49.411616901880315,1.46,0.65,170.83,12339
jungle,Cho'Gath,chogath,36782,2.5,49.7933771953673,1.13,2.14,181.57,12360
jungle,Graves,graves,127164,2.53,49.81284011198138,3.9,1.98,211.55,13822
jungle,Trundle,trundle,79533,2.43,49.82711578841487,2.44,1.58,175.79,12321
jungle,Olaf,olaf,13817,2.14,49.844394586379096,0.42,1.06,189.25,12818
jungle,Master Yi,masteryi,264226,2.02,49.974642919319066,8.1,20.6,185.99,13243
jungle,Viego,viego,306920,2.37,49.980125114036234,9.41,8.15,187.1,13248
jungle,Shyvana,shyvana,64537,2.34,49.99302725568279,1.98,0.31,211.6,12856
jungle,Fiddlesticks,fiddlesticks,87163,2.56,50.00516274107133,2.67,1.6,178.16,12523
jungle,Brand,brand,13624,2.39,50.066059894304175,0.42,6.6,190.51,12616
